 Fock matrix (alpha) (beta) Generated by Gaussian Link1 with IOp(5/33=3) Guess=Read
                1             2             3             4             5 
      1 -0.102851D+02
      2 -0.246028D+01 -0.105697D+01
      3  0.000000D+00  0.000000D+00  0.112943D-01
      4  0.169595D-03 -0.523585D-03  0.000000D+00 -0.138926D+00
     59 -0.935031D-03  0.000000D+00  0.189168D-04 -0.126932D-02 -0.361647D-03
     60  0.000000D+00  0.151514D-02  0.000000D+00  0.000000D+00  0.000000D+00
     61 -0.396848D-03  0.000000D+00 -0.206706D-04 -0.587054D-03  0.328427D-03
     62  0.141641D-02  0.000000D+00 -0.346515D-03  0.173235D-02  0.611696D-03
     63 -0.606857D-03  0.000000D+00 -0.104215D-03 -0.112112D-02 -0.767870D-02
     64  0.000000D+00 -0.145964D-02  0.000000D+00  0.000000D+00  0.000000D+00
     65 -0.312476D-04  0.000000D+00  0.600251D-04  0.376134D-03  0.534952D-02
     66  0.252989D-02  0.000000D+00  0.769839D-03  0.468192D-02  0.238662D-01
     67 -0.760242D-03  0.000000D+00 -0.491189D-04 -0.108245D-02 -0.375580D-04
     68 -0.845855D-03  0.000000D+00 -0.656168D-04 -0.120264D-02 -0.848045D-04
     69 -0.432160D-03  0.000000D+00  0.230184D-03 -0.423803D-03 -0.846258D-03
     70  0.000000D+00 -0.374156D-03  0.000000D+00  0.000000D+00  0.000000D+00
     71  0.000000D+00  0.398226D-03  0.000000D+00  0.000000D+00  0.000000D+00
     72  0.197517D-03  0.000000D+00 -0.161298D-03  0.244472D-03 -0.278576D-03
     73  0.250264D-03  0.000000D+00  0.868611D-03  0.607847D-03 -0.580073D-02
     74 -0.124368D-01  0.000000D+00 -0.549599D-02 -0.169544D-01 -0.502795D-01
     75  0.341985D-03  0.000000D+00 -0.118372D-03  0.419227D-03 -0.978690D-04
     76  0.824130D-04  0.000000D+00 -0.206337D-04  0.115716D-03 -0.661129D-03
               26            27            28            29            30 
     26 -0.505005D-01
     27  0.000000D+00 -0.248849D+00
     28  0.000000D+00 -0.123817D-03 -0.539128D+00
     29  0.000000D+00 -0.158909D-04 -0.967011D-02  0.619934D+00
     30  0.000000D+00 -0.109633D-03  0.680757D-01 -0.616833D+00  0.405983D+00
     31  0.000000D+00  0.262851D-04 -0.195789D+00 -0.636128D+00 -0.700253D+00
     32 -0.707345D-04  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     33 -0.502619D-01  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     34  0.000000D+00  0.102758D+00  0.156467D-04  0.852950D-04  0.765898D-04
     35  0.000000D+00  0.285980D+00  0.175834D+00 -0.286581D+00 -0.313696D+00
     36  0.000000D+00  0.132714D+00  0.369419D-01 -0.386864D+00 -0.486850D+00
     37  0.000000D+00 -0.286175D+00  0.175865D+00 -0.286679D+00 -0.313921D+00
     38  0.000000D+00 -0.133024D+00  0.368999D-01 -0.386916D+00 -0.486976D+00
     39  0.000000D+00  0.230609D-04 -0.192648D-03  0.534221D-05  0.316263D-05
     40  0.000000D+00 -0.319527D-03 -0.120123D-02 -0.442646D-03 -0.362232D-03
     41  0.112931D-02  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     42  0.000000D+00  0.240514D-03 -0.767049D-03  0.400421D-03  0.330273D-03
     43  0.000000D+00  0.341319D-03  0.190775D-02  0.683512D-03  0.548634D-03
     44  0.000000D+00  0.136644D-02 -0.144519D-01  0.531245D-04  0.248825D-04
     45 -0.355458D-02  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     46  0.000000D+00 -0.336982D-02 -0.512287D-02  0.154002D-03  0.140545D-03
     47  0.000000D+00 -0.457392D-02  0.421367D-01 -0.238194D-03 -0.104540D-03
     48  0.000000D+00 -0.313913D-03 -0.376794D-03 -0.335425D-03 -0.279988D-03
     49  0.000000D+00 -0.393074D-03 -0.414049D-03 -0.429295D-03 -0.347030D-03
     50  0.000000D+00  0.668521D-04 -0.234492D-02 -0.218249D-03 -0.181149D-03
     51  0.191967D-03  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     52  0.390168D-03  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     53  0.000000D+00 -0.301774D-03  0.135221D-03  0.142540D-03  0.116868D-03
     54  0.000000D+00  0.373197D-03 -0.121577D-03  0.154427D-03  0.116454D-03
     55  0.000000D+00  0.261705D-03 -0.117701D-02  0.739858D-04  0.482444D-04
     56  0.000000D+00  0.185702D-02 -0.657117D-02 -0.784552D-04 -0.588020D-04
     57  0.000000D+00  0.146564D-01 -0.549678D-01 -0.671634D-03 -0.116559D-02
     58  0.000000D+00 -0.889882D-04 -0.414770D-03  0.653198D-05  0.425591D-05
     59  0.000000D+00  0.204883D-03 -0.201225D-02 -0.719154D-03 -0.591411D-03
     60  0.637072D-03  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     61  0.000000D+00  0.296038D-03  0.131063D-02 -0.297942D-03 -0.249681D-03
     62  0.000000D+00 -0.314662D-03  0.302350D-02  0.114185D-02  0.937711D-03
     63  0.000000D+00 -0.372113D-02 -0.206531D-01 -0.143651D-03 -0.180780D-03
     64 -0.567783D-02  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     65  0.000000D+00 -0.311328D-02  0.135212D-01 -0.359611D-03 -0.326288D-03
     66  0.000000D+00  0.110026D-01  0.563006D-01  0.506800D-03  0.732947D-03
     67  0.000000D+00  0.414014D-03 -0.559805D-03 -0.571314D-03 -0.474769D-03
     68  0.000000D+00  0.320659D-03 -0.747190D-03 -0.642155D-03 -0.523417D-03
     69  0.000000D+00 -0.490363D-03 -0.403736D-02 -0.364162D-03 -0.302313D-03
     70 -0.162948D-03  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     71  0.799080D-03  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     72  0.000000D+00 -0.119651D-03 -0.103666D-02  0.156754D-03  0.128227D-03
     73  0.000000D+00 -0.796667D-02 -0.196804D-01  0.125123D-03  0.996081D-04
     74  0.000000D+00 -0.280614D-01 -0.100128D+00 -0.511409D-02 -0.627294D-02
     75  0.000000D+00 -0.393834D-03 -0.315645D-03  0.282066D-03  0.228125D-03
     76  0.000000D+00 -0.727930D-03 -0.226431D-02  0.828175D-04  0.578759D-04
               31            32            33            34            35 
     31  0.256863D+00
     32  0.000000D+00  0.175833D+01
     33  0.000000D+00 -0.375367D-05  0.171296D+01
     34  0.118051D-03  0.000000D+00  0.000000D+00  0.156348D+01
     35 -0.296300D+00  0.000000D+00  0.000000D+00 -0.325281D-01 -0.104478D+00
     36 -0.473735D+00  0.000000D+00  0.000000D+00 -0.582154D-01 -0.503694D+00
     37 -0.296377D+00  0.000000D+00  0.000000D+00  0.325655D-01 -0.450886D-01
     38 -0.473753D+00  0.000000D+00  0.000000D+00  0.582371D-01 -0.195334D+00
     39  0.537488D-05  0.000000D+00  0.000000D+00  0.826293D-05  0.381454D-05
     40 -0.479723D-03  0.000000D+00  0.000000D+00 -0.967565D-03 -0.379555D-03
     41  0.000000D+00 -0.136272D-04  0.573341D-04  0.000000D+00  0.000000D+00
     42  0.389798D-03  0.000000D+00  0.000000D+00  0.735288D-03  0.278743D-03
     43  0.589761D-03  0.000000D+00  0.000000D+00  0.140753D-02  0.493747D-03
     44 -0.566525D-03  0.000000D+00  0.000000D+00  0.826629D-04 -0.545205D-04
     45  0.000000D+00  0.214144D-04 -0.826324D-03  0.000000D+00  0.000000D+00
     46 -0.258320D-03  0.000000D+00  0.000000D+00  0.506556D-04 -0.386945D-05
     47  0.290444D-02  0.000000D+00  0.000000D+00 -0.128578D-02 -0.113013D-03
     48 -0.395076D-03  0.000000D+00  0.000000D+00 -0.742991D-03 -0.292673D-03
     49 -0.488110D-03  0.000000D+00  0.000000D+00 -0.901802D-03 -0.353926D-03
     50 -0.152547D-03  0.000000D+00  0.000000D+00 -0.494003D-03 -0.182751D-03
     51  0.000000D+00  0.859725D-05  0.431167D-05  0.000000D+00  0.000000D+00
     52  0.000000D+00  0.230139D-05  0.800962D-04  0.000000D+00  0.000000D+00
     53  0.163351D-03  0.000000D+00  0.000000D+00 -0.102679D-02 -0.508836D-03
     54  0.140125D-03  0.000000D+00  0.000000D+00  0.878397D-03  0.396959D-03
     55  0.563375D-04  0.000000D+00  0.000000D+00  0.285717D-03  0.128937D-03
     56  0.168381D-03  0.000000D+00  0.000000D+00 -0.966013D-03 -0.296109D-03
     57 -0.658560D-02  0.000000D+00  0.000000D+00  0.467835D-02  0.340258D-03
     58  0.715997D-05  0.000000D+00  0.000000D+00 -0.809136D-05 -0.832092D-05
     59 -0.685878D-03  0.000000D+00  0.000000D+00  0.156145D-02  0.886203D-03
     60  0.000000D+00  0.168776D-04 -0.475261D-04  0.000000D+00  0.000000D+00
     61 -0.301340D-03  0.000000D+00  0.000000D+00  0.896155D-03  0.529200D-03
     62  0.871151D-03  0.000000D+00  0.000000D+00 -0.285846D-02 -0.143726D-02
     63 -0.125774D-02  0.000000D+00  0.000000D+00  0.385975D-04  0.445359D-04
     64  0.000000D+00 -0.887788D-04 -0.129444D-02  0.000000D+00  0.000000D+00
     65  0.960936D-03  0.000000D+00  0.000000D+00  0.480791D-04  0.190707D-03
     66  0.570107D-02  0.000000D+00  0.000000D+00  0.185480D-02  0.582087D-03
     67 -0.592657D-03  0.000000D+00  0.000000D+00  0.122316D-02  0.747452D-03
     68 -0.667106D-03  0.000000D+00  0.000000D+00  0.951495D-03  0.630535D-03
     69 -0.190398D-03  0.000000D+00  0.000000D+00  0.131132D-02  0.539343D-03
     70  0.000000D+00  0.594572D-05 -0.622022D-05  0.000000D+00  0.000000D+00
     71  0.000000D+00  0.000000D+00  0.134945D-03  0.000000D+00  0.000000D+00
     72  0.130263D-03  0.000000D+00  0.000000D+00 -0.759939D-03 -0.312464D-03
     73  0.547458D-03  0.000000D+00  0.000000D+00  0.341353D-03 -0.293653D-03
     74 -0.200647D-01  0.000000D+00  0.000000D+00 -0.919029D-02 -0.225001D-02
     75  0.205911D-03  0.000000D+00  0.000000D+00 -0.886110D-03 -0.447847D-03
     76  0.360160D-04  0.000000D+00  0.000000D+00 -0.211331D-03 -0.143620D-03
               36            37            38            39            40 
     36 -0.471008D+00
     37 -0.195358D+00 -0.104855D+00
     38 -0.361749D+00 -0.503915D+00 -0.471312D+00
     39  0.000000D+00 -0.728772D-05 -0.320430D-05 -0.102906D+02
     40 -0.206655D-04  0.590874D-03  0.229416D-03 -0.246124D+01 -0.105895D+01
     41  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     42  0.676142D-05 -0.501802D-03 -0.190484D-03  0.186029D-03 -0.465772D-01
     43  0.505723D-04 -0.743536D-03 -0.290822D-03 -0.206386D-04  0.935929D-02
     44 -0.141703D-02 -0.969102D-04 -0.990060D-03 -0.202346D+01 -0.116409D+01
     45  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     46  0.175095D-03 -0.134746D-03 -0.932831D-03 -0.364296D-03 -0.470863D-01
     47  0.509592D-02  0.757861D-03  0.378817D-02  0.746046D-04  0.858102D-02
     48  0.104140D-04  0.484136D-03  0.204899D-03 -0.941467D+00 -0.551507D+00
     49  0.362312D-05  0.561965D-03  0.232544D-03 -0.944842D+00 -0.717517D+00
     50 -0.573969D-04  0.227893D-03  0.617146D-04 -0.943864D+00 -0.659313D+00
     51  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     52  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     53 -0.150929D-03  0.395206D-03  0.669755D-04  0.315683D-03  0.186974D-01
     54  0.686583D-04 -0.449845D-03 -0.171469D-03 -0.376573D+00 -0.452853D+00
     55 -0.447955D-04 -0.168372D-03 -0.112150D-03 -0.102129D+01 -0.715442D+00
     56 -0.602299D-03  0.197231D-03 -0.286389D-04 -0.376584D+00 -0.453651D+00
     57 -0.996531D-02 -0.169646D-02 -0.500880D-02 -0.102130D+01 -0.714918D+00
     58 -0.448872D-05  0.309574D-05 -0.830205D-05 -0.264242D-03 -0.242536D+00
     59  0.317512D-03 -0.606171D-03 -0.887330D-04 -0.242586D+00 -0.427342D+00
     60  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     61  0.182751D-03 -0.366544D-03 -0.520851D-04  0.505871D+00  0.466098D+00
     62 -0.487993D-03  0.106184D-02  0.252292D-03 -0.892074D-01 -0.814575D-01
     63 -0.129736D-02 -0.230745D-03 -0.262839D-02 -0.732046D+00 -0.607957D+00
     64  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     65  0.172825D-02  0.133326D-03  0.619149D-03  0.142165D+01  0.778770D+00
     66  0.474166D-02  0.210211D-03  0.868959D-02 -0.250679D+00 -0.137023D+00
     67  0.291047D-03 -0.490540D-03 -0.804371D-05 -0.188152D-01 -0.236653D+00
     68  0.266301D-03 -0.352597D-03  0.318125D-04 -0.631969D+00 -0.459844D+00
     69  0.125321D-03 -0.494018D-03 -0.248379D-03 -0.376322D-01 -0.241364D+00
     70  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     71  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     72 -0.123721D-03  0.289685D-03  0.373271D-04  0.187333D+00  0.684682D-01
     73 -0.434479D-03  0.131048D-03 -0.245439D-02 -0.816001D-03 -0.302630D-01
     74 -0.106654D-01 -0.127633D-02 -0.220254D-01 -0.167158D+00 -0.213143D+00
     75 -0.186600D-03  0.361145D-03  0.285610D-04 -0.830151D-03 -0.299495D-01
     76 -0.140695D-03  0.853605D-04 -0.232724D-03 -0.167166D+00 -0.213188D+00
               41            42            43            44            45 
     41  0.869811D-02
     42  0.000000D+00 -0.223578D+00
     43  0.000000D+00  0.145966D-01 -0.144726D+00
     44  0.000000D+00 -0.623524D-01  0.119156D-01 -0.110864D+01
     45 -0.299355D+00  0.000000D+00  0.000000D+00  0.000000D+00 -0.543503D-01
     46  0.000000D+00 -0.528311D+00  0.160614D-01 -0.159756D+00  0.000000D+00
     47  0.000000D+00  0.169476D-01 -0.440689D+00  0.348875D-01  0.000000D+00
     48  0.000000D+00 -0.160765D-01  0.338330D-02 -0.588410D+00  0.000000D+00
     49  0.000000D+00 -0.157920D+00  0.506170D-01 -0.794453D+00  0.000000D+00
     50  0.000000D+00  0.487944D-01 -0.290320D-01 -0.713005D+00  0.000000D+00
     51 -0.442515D-01  0.000000D+00  0.000000D+00  0.000000D+00 -0.495882D-01
     52  0.851554D-02  0.000000D+00  0.000000D+00  0.000000D+00  0.947551D-02
     53  0.000000D+00  0.865908D-01  0.900534D-01  0.259895D-01  0.000000D+00
     54  0.000000D+00  0.148872D+00 -0.373266D+00 -0.438715D+00  0.000000D+00
     55  0.000000D+00  0.803933D-01 -0.241015D+00 -0.658846D+00  0.000000D+00
     56  0.000000D+00  0.268663D+00  0.301132D+00 -0.441378D+00  0.000000D+00
     57  0.000000D+00  0.157258D+00  0.199091D+00 -0.666697D+00  0.000000D+00
     58  0.000000D+00 -0.505767D+00  0.891678D-01 -0.731872D+00  0.000000D+00
     59  0.000000D+00 -0.465884D+00  0.828273D-01 -0.607698D+00  0.000000D+00
     60 -0.217302D+00  0.000000D+00  0.000000D+00  0.000000D+00 -0.241118D+00
     61  0.000000D+00  0.328665D+00 -0.839263D-01  0.364893D+00  0.000000D+00
     62  0.000000D+00 -0.833911D-01 -0.131692D+00 -0.637654D-01  0.000000D+00
     63  0.000000D+00 -0.364657D+00  0.648046D-01 -0.742007D+00  0.000000D+00
     64 -0.241429D+00  0.000000D+00  0.000000D+00  0.000000D+00 -0.148869D+00
     65  0.000000D+00  0.987266D-01 -0.550760D-01  0.637669D+00  0.000000D+00
     66  0.000000D+00 -0.535969D-01 -0.200999D+00 -0.106965D+00  0.000000D+00
     67  0.000000D+00 -0.290962D+00  0.517312D-01 -0.314847D+00  0.000000D+00
     68  0.000000D+00 -0.293789D+00  0.720753D-01 -0.559721D+00  0.000000D+00
     69  0.000000D+00 -0.293659D+00  0.326753D-01 -0.344744D+00  0.000000D+00
     70  0.964846D-01  0.000000D+00  0.000000D+00  0.000000D+00  0.465619D-01
     71 -0.167689D-01  0.000000D+00  0.000000D+00  0.000000D+00 -0.765256D-02
     72  0.000000D+00  0.172638D-01  0.899939D-01  0.672661D-01  0.000000D+00
     73  0.000000D+00 -0.492480D-01  0.353492D-01 -0.132379D+00  0.000000D+00
     74  0.000000D+00 -0.165950D+00  0.870168D-01 -0.334308D+00  0.000000D+00
     75  0.000000D+00 -0.588750D-01 -0.163642D-01 -0.131006D+00  0.000000D+00
     76  0.000000D+00 -0.185391D+00 -0.257041D-01 -0.328802D+00  0.000000D+00
               46            47            48            49            50 
     46 -0.534087D+00
     47  0.500125D-01 -0.276724D+00
     48 -0.955631D-02  0.148014D-02  0.617252D+00
     49 -0.181703D+00  0.524439D-01 -0.636598D+00  0.258873D+00
     50  0.557039D-01 -0.289567D-01 -0.618545D+00 -0.702015D+00  0.397773D+00
     51  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     52  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     53  0.946385D-01  0.814577D-01  0.588681D-02  0.254538D-01  0.189967D-01
     54  0.123802D+00 -0.312754D+00 -0.286919D+00 -0.290822D+00 -0.320505D+00
     55  0.138590D-01 -0.137113D+00 -0.387740D+00 -0.463577D+00 -0.499069D+00
     56  0.225960D+00  0.256830D+00 -0.286999D+00 -0.304291D+00 -0.309292D+00
     57  0.629939D-01  0.148447D+00 -0.386956D+00 -0.485715D+00 -0.476914D+00
     58 -0.142130D+01  0.250598D+00 -0.188095D-01 -0.631845D+00 -0.376264D-01
     59 -0.778233D+00  0.137343D+00 -0.236683D+00 -0.459584D+00 -0.241504D+00
     60  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     61  0.988449D-01 -0.554452D-01  0.291115D+00  0.293573D+00  0.294065D+00
     62 -0.537706D-01 -0.200669D+00 -0.508985D-01 -0.704940D-01 -0.318497D-01
     63 -0.636372D+00  0.117615D+00 -0.315075D+00 -0.559662D+00 -0.344942D+00
     64  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     65 -0.821158D-01 -0.232440D-01  0.399251D+00  0.502234D+00  0.461335D+00
     66 -0.113862D-01 -0.184366D+00 -0.703913D-01 -0.928355D-01 -0.763039D-01
     67 -0.398890D+00  0.701740D-01 -0.126932D+00 -0.328660D+00 -0.127718D+00
     68 -0.502193D+00  0.929753D-01 -0.328799D+00 -0.127355D+00 -0.312735D+00
     69 -0.460833D+00  0.774857D-01 -0.127676D+00 -0.312367D+00 -0.144233D+00
     70  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     71  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     72  0.166054D-01  0.187324D-01  0.632492D-01 -0.112206D+00  0.106059D+00
     73 -0.239568D+00  0.146977D+00 -0.709865D-02 -0.501085D-01 -0.268744D-01
     74 -0.386278D+00  0.161253D+00 -0.111780D+00 -0.224339D+00 -0.130308D+00
     75 -0.271609D+00 -0.538406D-01 -0.687046D-02 -0.705640D-01 -0.604859D-02
     76 -0.406175D+00 -0.430760D-02 -0.111900D+00 -0.237009D+00 -0.117699D+00
               51            52            53            54            55 
     51  0.171151D+01
     52  0.786198D-02  0.175375D+01
     53  0.000000D+00  0.000000D+00  0.155846D+01
     54  0.000000D+00  0.000000D+00  0.254908D-01 -0.106245D+00
     55  0.000000D+00  0.000000D+00  0.507091D-01 -0.504708D+00 -0.472378D+00
     56  0.000000D+00  0.000000D+00 -0.376538D-01 -0.452720D-01 -0.196211D+00
     57  0.000000D+00  0.000000D+00 -0.590722D-01 -0.196165D+00 -0.363405D+00
     58  0.000000D+00  0.000000D+00  0.187298D+00 -0.827480D-03 -0.167129D+00
     59  0.000000D+00  0.000000D+00  0.693334D-01 -0.300165D-01 -0.213149D+00
     60 -0.962193D-01  0.171684D-01  0.000000D+00  0.000000D+00  0.000000D+00
     61  0.000000D+00  0.000000D+00 -0.185884D-01  0.497389D-01  0.165458D+00
     62  0.000000D+00  0.000000D+00 -0.902030D-01 -0.354180D-01 -0.875317D-01
     63  0.000000D+00  0.000000D+00  0.680644D-01 -0.130980D+00 -0.328802D+00
     64 -0.462892D-01  0.856983D-02  0.000000D+00  0.000000D+00  0.000000D+00
     65  0.000000D+00  0.000000D+00 -0.177047D-01  0.236928D+00  0.380299D+00
     66  0.000000D+00  0.000000D+00 -0.176746D-01 -0.143844D+00 -0.143140D+00
     67  0.000000D+00  0.000000D+00  0.636573D-01 -0.692455D-02 -0.111859D+00
     68  0.000000D+00  0.000000D+00 -0.111126D+00 -0.498528D-01 -0.224483D+00
     69  0.000000D+00  0.000000D+00  0.106842D+00 -0.268335D-01 -0.130209D+00
     70 -0.229027D+00  0.395270D-01  0.000000D+00  0.000000D+00  0.000000D+00
     71  0.398983D-01 -0.108971D-01  0.000000D+00  0.000000D+00  0.000000D+00
     72  0.000000D+00  0.000000D+00 -0.185270D+00  0.632855D-01  0.635108D-01
     73  0.000000D+00  0.000000D+00  0.630075D-01 -0.634661D-02 -0.216654D-01
     74  0.000000D+00  0.000000D+00  0.626557D-01 -0.213818D-01 -0.106324D+00
     75  0.000000D+00  0.000000D+00 -0.358107D-01  0.359550D-02 -0.593182D-01
     76  0.000000D+00  0.000000D+00  0.372430D-02 -0.592973D-01 -0.154641D+00
               56            57            58            59            60 
     56 -0.115097D+00
     57 -0.512878D+00 -0.510323D+00
     58 -0.817805D-03 -0.167120D+00 -0.102873D+02
     59 -0.301809D-01 -0.212885D+00 -0.246068D+01 -0.105831D+01
     60  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.106630D-01
     61  0.583531D-01  0.185664D+00 -0.696233D-05  0.474024D-01  0.000000D+00
     62  0.163728D-01  0.250121D-01 -0.200879D-03 -0.584504D-02  0.000000D+00
     63 -0.131708D+00 -0.333404D+00 -0.202294D+01 -0.116339D+01  0.000000D+00
     64  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00 -0.298688D+00
     65  0.273071D+00  0.414363D+00  0.391280D-03  0.472081D-01  0.000000D+00
     66  0.550962D-01  0.174183D-01 -0.919057D-04 -0.820486D-02  0.000000D+00
     67 -0.704258D-02 -0.111565D+00 -0.941259D+00 -0.551212D+00  0.000000D+00
     68 -0.707143D-01 -0.236682D+00 -0.944646D+00 -0.717254D+00  0.000000D+00
     69 -0.619031D-02 -0.117743D+00 -0.943706D+00 -0.659153D+00  0.000000D+00
     70  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.449214D-01
     71  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00 -0.677481D-02
     72 -0.355617D-01  0.334544D-02  0.294390D-03  0.184010D-01  0.000000D+00
     73  0.348631D-02 -0.601559D-01 -0.376477D+00 -0.454306D+00  0.000000D+00
     74 -0.599241D-01 -0.169515D+00 -0.102103D+01 -0.713025D+00  0.000000D+00
     75 -0.644466D-02 -0.218676D-01 -0.376501D+00 -0.452050D+00  0.000000D+00
     76 -0.216910D-01 -0.106466D+00 -0.102104D+01 -0.714785D+00  0.000000D+00
               61            62            63            64            65 
     61 -0.222255D+00
     62  0.145259D-01 -0.145145D+00
     63  0.631964D-01 -0.966918D-02 -0.110975D+01
     64  0.000000D+00  0.000000D+00  0.000000D+00 -0.548928D-01
     65 -0.528351D+00  0.164408D-01  0.161647D+00  0.000000D+00 -0.536394D+00
     66  0.147971D-01 -0.439685D+00 -0.175443D-01  0.000000D+00  0.460005D-01
     67  0.163056D-01 -0.132052D-02 -0.587845D+00  0.000000D+00  0.943484D-02
     68  0.159245D+00 -0.483811D-01 -0.793989D+00  0.000000D+00  0.182337D+00
     69 -0.484949D-01  0.334769D-01 -0.713016D+00  0.000000D+00 -0.557466D-01
     70  0.000000D+00  0.000000D+00  0.000000D+00  0.501116D-01  0.000000D+00
     71  0.000000D+00  0.000000D+00  0.000000D+00 -0.762461D-02  0.000000D+00
     72 -0.842806D-01 -0.898743D-01  0.256715D-01  0.000000D+00 -0.923663D-01
     73 -0.149637D+00  0.376416D+00 -0.446230D+00  0.000000D+00 -0.126826D+00
     74 -0.783778D-01  0.238696D+00 -0.673753D+00  0.000000D+00 -0.105941D-01
     75 -0.266882D+00 -0.300019D+00 -0.438250D+00  0.000000D+00 -0.222661D+00
     76 -0.157471D+00 -0.198904D+00 -0.658652D+00  0.000000D+00 -0.597102D-01
               66            67            68            69            70 
     66 -0.286376D+00
     67 -0.228766D-02  0.617751D+00
     68 -0.530774D-01 -0.636679D+00  0.259276D+00
     69  0.323875D-01 -0.618526D+00 -0.701975D+00  0.397639D+00
     70  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.171235D+01
     71  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.767412D-02
     72 -0.806533D-01  0.584075D-02  0.250809D-01  0.187276D-01  0.000000D+00
     73  0.330076D+00 -0.286939D+00 -0.290910D+00 -0.324871D+00  0.000000D+00
     74  0.183514D+00 -0.385139D+00 -0.461023D+00 -0.499669D+00  0.000000D+00
     75 -0.250912D+00 -0.286436D+00 -0.302934D+00 -0.307065D+00  0.000000D+00
     76 -0.123267D+00 -0.387294D+00 -0.485938D+00 -0.475877D+00  0.000000D+00
               71            72            73            74            75 
     71  0.175428D+01
     72  0.000000D+00  0.155922D+01
     73  0.000000D+00  0.269537D-01 -0.134590D+00
     74  0.000000D+00  0.500444D-01 -0.531610D+00 -0.556254D+00
     75  0.000000D+00 -0.356986D-01 -0.452567D-01 -0.196743D+00 -0.104938D+00
     76  0.000000D+00 -0.583733D-01 -0.197061D+00 -0.364349D+00 -0.504062D+00
               76 
     76 -0.471947D+00
